,id,date,tmin,tmax
0,MX17004,2010-01-30,14.5,27.8
1,MX17004,2010-02-02,14.4,27.3
2,MX17004,2010-02-03,14.4,24.1
3,MX17004,2010-02-11,13.4,29.7
4,MX17004,2010-02-23,10.7,29.9
5,MX17004,2010-03-05,14.2,32.1
6,MX17004,2010-03-10,16.8,34.5
7,MX17004,2010-03-16,17.6,31.1
8,MX17004,2010-04-27,16.7,36.3
9,MX17004,2010-05-27,18.2,33.2
10,MX17004,2010-06-17,17.5,28.0
11,MX17004,2010-06-29,18.0,30.1
12,MX17004,2010-07-03,17.5,28.6
13,MX17004,2010-07-14,16.5,29.9
14,MX17004,2010-08-23,15.0,26.4
15,MX17004,2010-08-05,15.8,29.6
16,MX17004,2010-08-29,15.3,28.0
17,MX17004,2010-08-08,17.3,29.0
18,MX17004,2010-08-13,16.5,29.8
19,MX17004,2010-08-25,15.6,29.7
20,MX17004,2010-08-31,15.4,25.4
21,MX17004,2010-10-05,14.0,27.0
22,MX17004,2010-10-14,13.0,29.5
23,MX17004,2010-10-07,12.9,28.1
24,MX17004,2010-10-15,10.5,28.7
25,MX17004,2010-10-28,15.0,31.2
26,MX17004,2010-11-02,16.3,31.3
27,MX17004,2010-11-05,7.9,26.3
28,MX17004,2010-11-27,14.2,27.7
29,MX17004,2010-11-04,12.0,27.2
30,MX17004,2010-11-26,12.1,28.1
31,MX17004,2010-12-01,13.8,29.9
32,MX17004,2010-12-06,10.5,27.8
